timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707148230659,19775,HTTP Request,200,OK,Thread Group 1-2288,text,true,,1957,118,711,711,https://www.daraz.com.bd/,19775,0,19717
1707148250379,59,HTTP Request,200,OK,Thread Group 1-2884,text,true,,1969,118,711,711,https://www.daraz.com.bd/,59,0,0
1707148231746,18699,HTTP Request,200,OK,Thread Group 1-2634,text,true,,1969,118,710,710,https://www.daraz.com.bd/,18592,0,0
1707148230656,19799,HTTP Request,200,OK,Thread Group 1-2516,text,true,,1993,118,709,709,https://www.daraz.com.bd/,19799,0,19742
1707148250408,56,HTTP Request,200,OK,Thread Group 1-2413,text,true,,1945,118,709,709,https://www.daraz.com.bd/,56,0,0
1707148250409,57,HTTP Request,200,OK,Thread Group 1-2675,text,true,,1969,118,708,708,https://www.daraz.com.bd/,57,0,0
1707148250418,57,HTTP Request,200,OK,Thread Group 1-2900,text,true,,1969,118,707,707,https://www.daraz.com.bd/,57,0,0
1707148250418,57,HTTP Request,200,OK,Thread Group 1-2999,text,true,,1963,118,707,707,https://www.daraz.com.bd/,57,0,0
1707148230662,19813,HTTP Request,200,OK,Thread Group 1-2490,text,true,,1987,118,705,705,https://www.daraz.com.bd/,19813,0,19759
1707148230588,19888,HTTP Request,200,OK,Thread Group 1-2409,text,true,,1957,118,705,705,https://www.daraz.com.bd/,19888,0,19832
1707148250423,57,HTTP Request,200,OK,Thread Group 1-1795,text,true,,1987,118,705,705,https://www.daraz.com.bd/,57,0,0
1707148229771,20713,HTTP Request,200,OK,Thread Group 1-1765,text,true,,1951,118,704,704,https://www.daraz.com.bd/,20713,0,20659
1707148250432,56,HTTP Request,200,OK,Thread Group 1-1103,text,true,,1927,118,704,704,https://www.daraz.com.bd/,56,0,0
1707148230598,19890,HTTP Request,200,OK,Thread Group 1-2593,text,true,,1969,118,703,703,https://www.daraz.com.bd/,19890,0,19834
